Diagnóstico principal (CIE9MC);Urgencia del ingreso y sexo;Total
571 Enfermedad hepática y cirrosis crónica;Casos ordinarios:Hombres;6,72
571 Enfermedad hepática y cirrosis crónica;Casos ordinarios:Mujeres;6,10
571 Enfermedad hepática y cirrosis crónica;Casos urgentes:Ambos sexos;10,39
571 Enfermedad hepática y cirrosis crónica;Casos urgentes:Hombres;10,28
571 Enfermedad hepática y cirrosis crónica;Casos urgentes:Mujeres;10,68
574 Colelitiasis;Total;4,60
574 Colelitiasis;Casos ordinarios:Ambos sexos;2,43
574 Colelitiasis;Casos ordinarios:Hombres;2,68
574 Colelitiasis;Casos ordinarios:Mujeres;2,28
574 Colelitiasis;Casos urgentes:Ambos sexos;7,85
574 Colelitiasis;Casos urgentes:Hombres;8,02
574 Colelitiasis;Casos urgentes:Mujeres;7,70
575-576 Otros trastornos de la vesícula y del tracto biliar;Total;7,65
575-576 Otros trastornos de la vesícula y del tracto biliar;Casos ordinarios:Ambos sexos;4,23
575-576 Otros trastornos de la vesícula y del tracto biliar;Casos ordinarios:Hombres;4,35
575-576 Otros trastornos de la vesícula y del tracto biliar;Casos ordinarios:Mujeres;4,12
575-576 Otros trastornos de la vesícula y del tracto biliar;Casos urgentes:Ambos sexos;8,91
575-576 Otros trastornos de la vesícula y del tracto biliar;Casos urgentes:Hombres;8,99
575-576 Otros trastornos de la vesícula y del tracto biliar;Casos urgentes:Mujeres;8,80
577 Enfermedades pancreáticas;Total;9,14
577 Enfermedades pancreáticas;Casos ordinarios:Ambos sexos;7,74
577 Enfermedades pancreáticas;Casos ordinarios:Hombres;7,72
577 Enfermedades pancreáticas;Casos ordinarios:Mujeres;7,78
577 Enfermedades pancreáticas;Casos urgentes:Ambos sexos;9,26
577 Enfermedades pancreáticas;Casos urgentes:Hombres;9,44
577 Enfermedades pancreáticas;Casos urgentes:Mujeres;9,03
Resto (570-579) Otras enfermedades del aparato digestivo;Total;7,76
Resto (570-579) Otras enfermedades del aparato digestivo;Casos ordinarios:Ambos sexos;7,09
Resto (570-579) Otras enfermedades del aparato digestivo;Casos ordinarios:Hombres;7,22
Resto (570-579) Otras enfermedades del aparato digestivo;Casos ordinarios:Mujeres;6,93
Resto (570-579) Otras enfermedades del aparato digestivo;Casos urgentes:Ambos sexos;7,86
Resto (570-579) Otras enfermedades del aparato digestivo;Casos urgentes:Hombres;7,92
Resto (570-579) Otras enfermedades del aparato digestivo;Casos urgentes:Mujeres;7,78
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Total;4,75
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Casos ordinarios:Ambos sexos;3,39
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Casos ordinarios:Hombres;3,71
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Casos ordinarios:Mujeres;3,13
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Casos urgentes:Ambos sexos;6,01
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Casos urgentes:Hombres;6,23
580-629 X ENFERMEDADES DEL APARATO GENITOURINARIO;Casos urgentes:Mujeres;5,79
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Total;8,61
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Casos ordinarios:Ambos sexos;7,91
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Casos ordinarios:Hombres;7,62
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Casos ordinarios:Mujeres;8,33
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Casos urgentes:Ambos sexos;8,82
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Casos urgentes:Hombres;8,85
580-589 X.1 NEFRITIS, SÍNDROME NEFRÓTICO Y NEFROSIS;Casos urgentes:Mujeres;8,78
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Total;5,49
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Casos ordinarios:Ambos sexos;4,46
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Casos ordinarios:Hombres;3,80
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Casos ordinarios:Mujeres;5,53
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Casos urgentes:Ambos sexos;5,90
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Casos urgentes:Hombres;5,88
590-599 X.2 OTRAS ENFERMEDADES DEL APARATO URINARIO;Casos urgentes:Mujeres;5,91
592,594 Cálculo urinario;Total;3,17
592,594 Cálculo urinario;Casos ordinarios:Ambos sexos;2,55
592,594 Cálculo urinario;Casos ordinarios:Hombres;2,44
592,594 Cálculo urinario;Casos ordinarios:Mujeres;2,70
592,594 Cálculo urinario;Casos urgentes:Ambos sexos;3,76
592,594 Cálculo urinario;Casos urgentes:Hombres;3,62
592,594 Cálculo urinario;Casos urgentes:Mujeres;3,98
Resto (590-599) Otras enfermedades del aparato urinario;Total;6,13
Resto (590-599) Otras enfermedades del aparato urinario;Casos ordinarios:Ambos sexos;5,59
Resto (590-599) Otras enfermedades del aparato urinario;Casos ordinarios:Hombres;4,56
Resto (590-599) Otras enfermedades del aparato urinario;Casos ordinarios:Mujeres;7,31
Resto (590-599) Otras enfermedades del aparato urinario;Casos urgentes:Ambos sexos;6,28
Resto (590-599) Otras enfermedades del aparato urinario;Casos urgentes:Hombres;6,42
Resto (590-599) Otras enfermedades del aparato urinario;Casos urgentes:Mujeres;6,16
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Total;3,56
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Casos ordinarios:Ambos sexos;3,24
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Casos ordinarios:Hombres;3,24
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Casos ordinarios:Mujeres;..
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Casos urgentes:Ambos sexos;4,55
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Casos urgentes:Hombres;4,55
600-608 X.3 ENFERMEDADES DE ÓRGANOS GENITALES MASCULINOS;Casos urgentes:Mujeres;..
600 Hiperplasia de próstata;Total;4,04
600 Hiperplasia de próstata;Casos ordinarios:Ambos sexos;3,92
600 Hiperplasia de próstata;Casos ordinarios:Hombres;3,92
600 Hiperplasia de próstata;Casos ordinarios:Mujeres;..
600 Hiperplasia de próstata;Casos urgentes:Ambos sexos;5,82
600 Hiperplasia de próstata;Casos urgentes:Hombres;5,82
600 Hiperplasia de próstata;Casos urgentes:Mujeres;..
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Total;2,99
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Casos ordinarios:Ambos sexos;1,83
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Casos ordinarios:Hombres;1,83
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Casos ordinarios:Mujeres;..
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Casos urgentes:Ambos sexos;4,34
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Casos urgentes:Hombres;4,34
Resto (600-608) Otras enfermedades de órganos genitales masculinos;Casos urgentes:Mujeres;..
610-612 X.4 TRASTORNOS DE LA MAMA;Total;1,65
610-612 X.4 TRASTORNOS DE LA MAMA;Casos ordinarios:Ambos sexos;1,59
610-612 X.4 TRASTORNOS DE LA MAMA;Casos ordinarios:Hombres;1,56
610-612 X.4 TRASTORNOS DE LA MAMA;Casos ordinarios:Mujeres;1,59
610-612 X.4 TRASTORNOS DE LA MAMA;Casos urgentes:Ambos sexos;2,11
610-612 X.4 TRASTORNOS DE LA MAMA;Casos urgentes:Hombres;2,58
610-612 X.4 TRASTORNOS DE LA MAMA;Casos urgentes:Mujeres;2,09
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Total;2,74
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Casos ordinarios:Ambos sexos;2,48
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Casos ordinarios:Hombres;..
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Casos ordinarios:Mujeres;2,48
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Casos urgentes:Ambos sexos;3,57
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Casos urgentes:Hombres;..
614-629 X.5 ENFERMEDAD INFLAMATORIA DE LOS ÓRGANOS PÉLVICOS Y OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;Casos urgentes:Mujeres;3,57
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Total;3,71
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Casos ordinarios:Ambos sexos;2,35
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Casos ordinarios:Hombres;..
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Casos ordinarios:Mujeres;2,35
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Casos urgentes:Ambos sexos;4,20
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Casos urgentes:Hombres;..
614-616 Enfermedad inflamatoria de los órganos pélvicos femeninos;Casos urgentes:Mujeres;4,20
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Total;2,59
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Casos ordinarios:Ambos sexos;2,49
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Casos ordinarios:Hombres;..
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Casos ordinarios:Mujeres;2,49
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Casos urgentes:Ambos sexos;3,11
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Casos urgentes:Hombres;..
Resto (614-629) Otras enfermedades de los órganos pélvicos y genitales femeninos;Casos urgentes:Mujeres;3,11
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Total;2,95
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Casos ordinarios:Ambos sexos;3,14
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Casos ordinarios:Hombres;..
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Casos ordinarios:Mujeres;3,14
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Casos urgentes:Ambos sexos;2,91
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Casos urgentes:Hombres;..
630-679 XI COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;Casos urgentes:Mujeres;2,91
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Total;1,71
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Casos ordinarios:Ambos sexos;1,41
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Casos ordinarios:Hombres;..
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Casos ordinarios:Mujeres;1,41
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Casos urgentes:Ambos sexos;1,76
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Casos urgentes:Hombres;..
630-639 XI.1 EMBARAZO ECTÓPICO, MOLAR Y OTROS EMBARAZOS CON RESULTADO ABORTIVO;Casos urgentes:Mujeres;1,76
635 Aborto legalmente inducido;Total;1,80
635 Aborto legalmente inducido;Casos ordinarios:Ambos sexos;1,51
635 Aborto legalmente inducido;Casos ordinarios:Hombres;..
635 Aborto legalmente inducido;Casos ordinarios:Mujeres;1,51
635 Aborto legalmente inducido;Casos urgentes:Ambos sexos;2,03
635 Aborto legalmente inducido;Casos urgentes:Hombres;..
635 Aborto legalmente inducido;Casos urgentes:Mujeres;2,03
Resto (630-639) Otros embarazos con resultado abortivo;Total;1,70
Resto (630-639) Otros embarazos con resultado abortivo;Casos ordinarios:Ambos sexos;1,38
Resto (630-639) Otros embarazos con resultado abortivo;Casos ordinarios:Hombres;..
Resto (630-639) Otros embarazos con resultado abortivo;Casos ordinarios:Mujeres;1,38
Resto (630-639) Otros embarazos con resultado abortivo;Casos urgentes:Ambos sexos;1,75
Resto (630-639) Otros embarazos con resultado abortivo;Casos urgentes:Hombres;..
Resto (630-639) Otros embarazos con resultado abortivo;Casos urgentes:Mujeres;1,75
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Total;3,06
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Casos ordinarios:Ambos sexos;3,19
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Casos ordinarios:Hombres;..
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Casos ordinarios:Mujeres;3,19
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Casos urgentes:Ambos sexos;3,03
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Casos urgentes:Hombres;..
640-649 XI.2 COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;Casos urgentes:Mujeres;3,03
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Total;2,40
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Casos ordinarios:Ambos sexos;2,45
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Casos ordinarios:Hombres;..
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Casos ordinarios:Mujeres;2,45
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Casos urgentes:Ambos sexos;2,38
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Casos urgentes:Hombres;..
650 XI.3 PARTO EN UN CASO TOTALMENTE NORMAL;Casos urgentes:Mujeres;2,38
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Total;3,13
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Casos ordinarios:Ambos sexos;3,41
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Casos ordinarios:Hombres;..
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Casos ordinarios:Mujeres;3,41
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Casos urgentes:Ambos sexos;3,07
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Casos urgentes:Hombres;..
651-659 XI.4 CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;Casos urgentes:Mujeres;3,07
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Total;2,94
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Casos ordinarios:Ambos sexos;3,35
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Casos ordinarios:Hombres;..
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Casos ordinarios:Mujeres;3,35
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Casos urgentes:Ambos sexos;2,84
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Casos urgentes:Hombres;..
660-669 XI.5 COMPLICACIONES DURANTE EL CURSO DEL PARTO;Casos urgentes:Mujeres;2,84
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Total;3,62
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Casos ordinarios:Ambos sexos;2,79
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Casos ordinarios:Hombres;..
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Casos ordinarios:Mujeres;2,79
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Casos urgentes:Ambos sexos;3,71
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Casos urgentes:Hombres;..
670-679 XI.6 COMPLICACIONES DEL PUERPERIO;Casos urgentes:Mujeres;3,71
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Total;8,13
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Casos ordinarios:Ambos sexos;8,34
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Casos ordinarios:Hombres;7,09
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Casos ordinarios:Mujeres;9,92
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Casos urgentes:Ambos sexos;8,01
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Casos urgentes:Hombres;7,82
680-709 XII ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;Casos urgentes:Mujeres;8,22
680-686 Infecciones de la piel y del tejido celular subcutáneo;Total;5,94
680-686 Infecciones de la piel y del tejido celular subcutáneo;Casos ordinarios:Ambos sexos;3,59
680-686 Infecciones de la piel y del tejido celular subcutáneo;Casos ordinarios:Hombres;3,03
680-686 Infecciones de la piel y del tejido celular subcutáneo;Casos ordinarios:Mujeres;4,72
680-686 Infecciones de la piel y del tejido celular subcutáneo;Casos urgentes:Ambos sexos;6,87
680-686 Infecciones de la piel y del tejido celular subcutáneo;Casos urgentes:Hombres;6,69
680-686 Infecciones de la piel y del tejido celular subcutáneo;Casos urgentes:Mujeres;7,08
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Total;11,77
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Casos ordinarios:Ambos sexos;12,86
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Casos ordinarios:Hombres;12,77
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Casos ordinarios:Mujeres;12,93
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Casos urgentes:Ambos sexos;10,70
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Casos urgentes:Hombres;10,92
Resto (680-709) Otras enfermedades de la piel y del tejido subcutáneo;Casos urgentes:Mujeres;10,50
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Total;4,41
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Casos ordinarios:Ambos sexos;3,83
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Casos ordinarios:Hombres;3,50
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Casos ordinarios:Mujeres;4,12
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Casos urgentes:Ambos sexos;8,03
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Casos urgentes:Hombres;8,07
710-739 XIII ENFERMEDADES DEL SISTEMA OSTEO-MIOARTICULAR Y TEJIDO CONECTIVO;Casos urgentes:Mujeres;7,99
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Total;4,33
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Casos ordinarios:Ambos sexos;4,13
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Casos ordinarios:Hombres;3,52
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Casos ordinarios:Mujeres;4,70
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Casos urgentes:Ambos sexos;7,51
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Casos urgentes:Hombres;7,40
710-719 XIII.1 ARTROPATÍAS Y TRASTORNOS RELACIONADOS;Casos urgentes:Mujeres;7,61
714 Artritis reumatoide y otras poliartropatías inflamatorias;Total;8,83
714 Artritis reumatoide y otras poliartropatías inflamatorias;Casos ordinarios:Ambos sexos;9,05
714 Artritis reumatoide y otras poliartropatías inflamatorias;Casos ordinarios:Hombres;9,50
714 Artritis reumatoide y otras poliartropatías inflamatorias;Casos ordinarios:Mujeres;8,88
714 Artritis reumatoide y otras poliartropatías inflamatorias;Casos urgentes:Ambos sexos;8,63
714 Artritis reumatoide y otras poliartropatías inflamatorias;Casos urgentes:Hombres;8,66
714 Artritis reumatoide y otras poliartropatías inflamatorias;Casos urgentes:Mujeres;8,61
717 Trastorno interno de rodilla;Total;1,40
717 Trastorno interno de rodilla;Casos ordinarios:Ambos sexos;1,39
717 Trastorno interno de rodilla;Casos ordinarios:Hombres;1,39
717 Trastorno interno de rodilla;Casos ordinarios:Mujeres;1,39
717 Trastorno interno de rodilla;Casos urgentes:Ambos sexos;1,65
717 Trastorno interno de rodilla;Casos urgentes:Hombres;1,62
717 Trastorno interno de rodilla;Casos urgentes:Mujeres;1,71
Resto (710-719) Otras artropatías y trastornos relacionados;Total;5,31
Resto (710-719) Otras artropatías y trastornos relacionados;Casos ordinarios:Ambos sexos;5,10
Resto (710-719) Otras artropatías y trastornos relacionados;Casos ordinarios:Hombres;4,75
Resto (710-719) Otras artropatías y trastornos relacionados;Casos ordinarios:Mujeres;5,36
Resto (710-719) Otras artropatías y trastornos relacionados;Casos urgentes:Ambos sexos;8,36
Resto (710-719) Otras artropatías y trastornos relacionados;Casos urgentes:Hombres;8,62
Resto (710-719) Otras artropatías y trastornos relacionados;Casos urgentes:Mujeres;8,12
720-724 XIII.2 DORSOPATÍAS;Total;5,79
720-724 XIII.2 DORSOPATÍAS;Casos ordinarios:Ambos sexos;4,79
720-724 XIII.2 DORSOPATÍAS;Casos ordinarios:Hombres;4,61
720-724 XIII.2 DORSOPATÍAS;Casos ordinarios:Mujeres;4,98
720-724 XIII.2 DORSOPATÍAS;Casos urgentes:Ambos sexos;8,16
720-724 XIII.2 DORSOPATÍAS;Casos urgentes:Hombres;8,49
720-724 XIII.2 DORSOPATÍAS;Casos urgentes:Mujeres;7,84
722 Trastorno del disco intervertebral;Total;5,30
722 Trastorno del disco intervertebral;Casos ordinarios:Ambos sexos;4,05
722 Trastorno del disco intervertebral;Casos ordinarios:Hombres;3,98
722 Trastorno del disco intervertebral;Casos ordinarios:Mujeres;4,14
722 Trastorno del disco intervertebral;Casos urgentes:Ambos sexos;9,28
722 Trastorno del disco intervertebral;Casos urgentes:Hombres;9,29
722 Trastorno del disco intervertebral;Casos urgentes:Mujeres;9,28
Resto (720-724) Otras dorsopatías;Total;6,41
Resto (720-724) Otras dorsopatías;Casos ordinarios:Ambos sexos;5,90
Resto (720-724) Otras dorsopatías;Casos ordinarios:Hombres;5,61
Resto (720-724) Otras dorsopatías;Casos ordinarios:Mujeres;6,19
Resto (720-724) Otras dorsopatías;Casos urgentes:Ambos sexos;7,26
Resto (720-724) Otras dorsopatías;Casos urgentes:Hombres;7,76
Resto (720-724) Otras dorsopatías;Casos urgentes:Mujeres;6,83
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Total;2,89
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Casos ordinarios:Ambos sexos;2,07
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Casos ordinarios:Hombres;1,97
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Casos ordinarios:Mujeres;2,18
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Casos urgentes:Ambos sexos;6,37
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Casos urgentes:Hombres;6,03
725-729 XIII.3 REUMATISMO, SALVO DE LA ESPALDA;Casos urgentes:Mujeres;6,79
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Total;4,66
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Casos ordinarios:Ambos sexos;3,48
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Casos ordinarios:Hombres;4,03
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Casos ordinarios:Mujeres;3,17
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Casos urgentes:Ambos sexos;10,09
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Casos urgentes:Hombres;10,98
730-739 XIII.4 OSTEOPATÍAS, CONDROPATÍAS Y DEFORMIDADES MUSCULOESQUELÉTICAS ADQUIRIDAS;Casos urgentes:Mujeres;9,49
734-736 Deformaciones adquiridas de los miembros;Total;1,78
734-736 Deformaciones adquiridas de los miembros;Casos ordinarios:Ambos sexos;1,78
734-736 Deformaciones adquiridas de los miembros;Casos ordinarios:Hombres;2,25
734-736 Deformaciones adquiridas de los miembros;Casos ordinarios:Mujeres;1,64
734-736 Deformaciones adquiridas de los miembros;Casos urgentes:Ambos sexos;1,82
734-736 Deformaciones adquiridas de los miembros;Casos urgentes:Hombres;2,33
734-736 Deformaciones adquiridas de los miembros;Casos urgentes:Mujeres;1,67
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Total;6,94
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Casos ordinarios:Ambos sexos;5,32
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Casos ordinarios:Hombres;4,86
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Casos ordinarios:Mujeres;5,78
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Casos urgentes:Ambos sexos;10,84
Resto (730-739) Otras osteopatías, condropatías y deformidades musculoesqueléticas adquiridas;Casos urgentes:Hombres;11,40
